year,province,subject_type,score,same_score_count,cumulative_count,same_score_count_specialist,cumulative_count_specialist,source_name,source_url,source_updated_at,status,review_notes
2026,广东,物理,252,263,424624,263,424626,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,251,248,424872,247,424873,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,250,234,425106,234,425107,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,249,255,425361,254,425361,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,248,213,425574,213,425574,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,247,207,425781,207,425781,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,246,224,426005,226,426007,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,245,214,426219,214,426221,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,244,189,426408,189,426410,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,243,199,426607,199,426609,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,242,194,426801,194,426803,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,241,193,426994,191,426994,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,240,177,427171,177,427171,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
2026,广东,物理,239,197,427368,197,427368,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4916165.html,2026-06-25,pending_review,官方 PDF 可抽取文字但含水印，需人工核验后才能进入 score_segments。
