subject_type,page,source_url,raw_file_path,status,notes
历史类,30,https://plan.sceea.cn/img/ls/tu/ls%20(30).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_030.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,31,https://plan.sceea.cn/img/ls/tu/ls%20(31).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_031.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,32,https://plan.sceea.cn/img/ls/tu/ls%20(32).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_032.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,33,https://plan.sceea.cn/img/ls/tu/ls%20(33).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_033.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,34,https://plan.sceea.cn/img/ls/tu/ls%20(34).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_034.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,35,https://plan.sceea.cn/img/ls/tu/ls%20(35).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_035.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,36,https://plan.sceea.cn/img/ls/tu/ls%20(36).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_036.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,37,https://plan.sceea.cn/img/ls/tu/ls%20(37).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_037.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,38,https://plan.sceea.cn/img/ls/tu/ls%20(38).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_038.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,39,https://plan.sceea.cn/img/ls/tu/ls%20(39).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_039.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
