id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2024-历史-10001-201-1,2024,广东,历史,普通类本科批次,10001,北京大学,201,,,662,32,24,投档人数:24,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10002-201-2,2024,广东,历史,普通类本科批次,10002,中国人民大学,201,,,648,150,49,投档人数:49,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10002-205-3,2024,广东,历史,普通类本科批次,10002,中国人民大学,205,,,659,53,5,投档人数:5,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10003-201-4,2024,广东,历史,普通类本科批次,10003,清华大学,201,,,665,19,4,投档人数:5,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10004-201-5,2024,广东,历史,普通类本科批次,10004,北京交通大学,201,,,594,3847,11,投档人数:11,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10006-201-6,2024,广东,历史,普通类本科批次,10006,北京航空航天大学,201,,,625,818,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10007-201-7,2024,广东,历史,普通类本科批次,10007,北京理工大学,201,,,611,1765,20,投档人数:20,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10008-201-8,2024,广东,历史,普通类本科批次,10008,北京科技大学,201,,,593,3913,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10008-202-9,2024,广东,历史,普通类本科批次,10008,北京科技大学,202,,,597,3312,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10008-203-10,2024,广东,历史,普通类本科批次,10008,北京科技大学,203,,,596,3469,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10010-201-11,2024,广东,历史,普通类本科批次,10010,北京化工大学,201,,,577,6981,12,投档人数:12,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10012-201-12,2024,广东,历史,普通类本科批次,10012,北京服装学院,201,,,513,31068,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10015-201-13,2024,广东,历史,普通类本科批次,10015,北京印刷学院,201,,,531,22341,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10019-201-14,2024,广东,历史,普通类本科批次,10019,中国农业大学(中外合作办学),201,,,583,5770,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10022-201-15,2024,广东,历史,普通类本科批次,10022,北京林业大学,201,,,575,7382,13,投档人数:13,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10022-202-16,2024,广东,历史,普通类本科批次,10022,北京林业大学,202,,,580,6292,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10022-205-17,2024,广东,历史,普通类本科批次,10022,北京林业大学,205,,,576,7111,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10022-206-18,2024,广东,历史,普通类本科批次,10022,省北京林业大学,206,,,580,6282,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10026-201-19,2024,广东,历史,普通类本科批次,10026,北京中医药大学,201,,,582,5882,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10027-201-20,2024,广东,历史,普通类本科批次,10027,北京师范大学,201,,,636,378,16,投档人数:16,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10027-211-21,2024,广东,历史,普通类本科批次,10027,北京师范大学,211,,,623,920,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10028-202-22,2024,广东,历史,普通类本科批次,10028,首都师范大学,202,,,584,5545,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10029-201-23,2024,广东,历史,普通类本科批次,10029,首都体育学院,201,,,521,27237,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10030-201-24,2024,广东,历史,普通类本科批次,10030,北京外国语大学,201,,,617,1282,5,投档人数:5,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10030-202-25,2024,广东,历史,普通类本科批次,10030,北京外国语大学,202,,,604,2497,13,投档人数:13,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10030-203-26,2024,广东,历史,普通类本科批次,10030,北京外国语大学,203,,,606,2229,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10031-201-27,2024,广东,历史,普通类本科批次,10031,北京第二外国语学院,201,,,572,8079,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10031-202-28,2024,广东,历史,普通类本科批次,10031,北京第二外国语学院,202,,,554,13173,18,投档人数:18,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10031-203-29,2024,广东,历史,普通类本科批次,10031,北京第二外国语学院省,203,,,575,7462,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10032-201-30,2024,广东,历史,普通类本科批次,10032,北京语言大学,201,,,570,8625,25,投档人数:25,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
gd-2024-历史-10032-202-31,2024,广东,历史,普通类本科批次,10032,北京语言大学,202,,,579,6469,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/zwgk/sjfb/tjsj/content/post_4458419.html,2024-07-19,verified,2026-07-02T03:57:37.041274+00:00,2026-07-02T03:57:37.041274+00:00
