id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2023-物理-13684-210-2436,2023,广东,物理,普通类本科批次,13684,珠海科技学院,210,,,490,157492,80,投档人数:80,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13684-211-2437,2023,广东,物理,普通类本科批次,13684,珠海科技学院,211,,,490,156571,50,投档人数:50,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13686-202-2438,2023,广东,物理,普通类本科批次,13686,武汉传媒学院,202,,,482,168627,16,投档人数:16,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13705-201-2439,2023,广东,物理,普通类本科批次,13705,成都医学院,201,,,558,65740,30,投档人数:30,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13714-205-2440,2023,广东,物理,普通类本科批次,13714,广州工商学院,205,,,445,225942,2194,投档人数:2194,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13714-206-2441,2023,广东,物理,普通类本科批次,13714,广州工商学院,206,,,439,236072,310,投档人数:239,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13714-207-2442,2023,广东,物理,普通类本科批次,13714,广州工商学院,207,,,440,234135,159,投档人数:159,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13714-208-2443,2023,广东,物理,普通类本科批次,13714,广州工商学院,208,,,439,236076,110,投档人数:73,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13714-209-2444,2023,广东,物理,普通类本科批次,13714,广州工商学院(中外合作办学)考,209,,,439,235525,120,投档人数:36,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13717-203-2445,2023,广东,物理,普通类本科批次,13717,广州科技职业技术大学,203,,,439,235906,2327,投档人数:2327,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13717-204-2446,2023,广东,物理,普通类本科批次,13717,广州科技职业技术大学,204,,,445,226027,131,投档人数:131,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13717-205-2447,2023,广东,物理,普通类本科批次,13717,广州科技职业技术大学,205,,,448,221454,157,投档人数:157,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13719-205-2448,2023,广东,物理,普通类本科批次,13719,广东科技学院,205,,,448,222218,4285,投档人数:4285,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13719-206-2449,2023,广东,物理,普通类本科批次,13719,广东科技学院(联合培养),206,,,442,230969,20,投档人数:20,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13719-213-2450,2023,广东,物理,普通类本科批次,13719,广东科技学院,213,,,441,232514,90,投档人数:90,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13720-201-2451,2023,广东,物理,普通类本科批次,13720,广东理工学院,201,,,439,236084,3831,投档人数:3409,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13720-202-2452,2023,广东,物理,普通类本科批次,13720,省广东理工学院,202,,,439,236039,200,投档人数:54,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13720-203-2453,2023,广东,物理,普通类本科批次,13720,广东理工学院,203,,,439,236085,753,投档人数:644,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13721-205-2454,2023,广东,物理,普通类本科批次,13721,广东工商职业技术大学,205,,,439,236080,1561,投档人数:1000,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13721-206-2455,2023,广东,物理,普通类本科批次,13721,广东工商职业技术大学,206,,,439,236062,151,投档人数:151,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
