id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2025-历史-10001-205-1,2025,广东,历史,普通类本科批次,10001,北京大学,205,,,669,28,24,投档人数:24,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10002-205-2,2025,广东,历史,普通类本科批次,10002,中国人民大学,205,,,655,148,56,投档人数:56,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10002-208-3,2025,广东,历史,普通类本科批次,10002,中国人民大学,208,,,666,47,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10003-203-4,2025,广东,历史,普通类本科批次,10003,清华大学,203,,,675,13,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10004-205-5,2025,广东,历史,普通类本科批次,10004,北京交通大学,205,,,610,3242,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10004-207-6,2025,广东,历史,普通类本科批次,10004,北京交通大学,207,,,609,3429,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10006-206-7,2025,广东,历史,普通类本科批次,10006,北京航空航天大学,206,,,641,493,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10007-204-8,2025,广东,历史,普通类本科批次,10007,北京理工大学,204,,,621,1840,16,投档人数:16,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10008-209-9,2025,广东,历史,普通类本科批次,10008,北京科技大学,209,,,603,4596,9,投档人数:9,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10010-207-10,2025,广东,历史,普通类本科批次,10010,北京化工大学,207,,,590,7555,12,投档人数:12,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10012-206-11,2025,广东,历史,普通类本科批次,10012,北京服装学院,206,,,546,26327,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10015-205-12,2025,广东,历史,普通类本科批次,10015,北京印刷学院,205,,,557,20426,1,投档人数:1,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10019-205-13,2025,广东,历史,普通类本科批次,10019,中国农业大学,205,,,614,2725,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10019-206-14,2025,广东,历史,普通类本科批次,10019,中国农业大学(中外合作办学),206,,,596,6000,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10019-209-15,2025,广东,历史,普通类本科批次,10019,中国农业大学,209,,,605,4208,7,投档人数:7,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10022-220-16,2025,广东,历史,普通类本科批次,10022,北京林业大学,220,,,595,6372,12,投档人数:12,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
gd-2025-历史-10022-221-17,2025,广东,历史,普通类本科批次,10022,北京林业大学,221,,,591,7300,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,2025-07-19,verified,2026-07-02T03:58:24.862680+00:00,2026-07-02T03:58:24.862680+00:00
