id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_type,source_name,source_url,source_updated_at,created_at,updated_at
js-2025-physics-2216-06-1959,2025,江苏,physics,普通类本科批次平行志愿,2216,浙江中医药大学,06,,(化学),591,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2221-02-1960,2025,江苏,physics,普通类本科批次平行志愿,2221,宁波大学,02,,(不限),588,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2221-03-1961,2025,江苏,physics,普通类本科批次平行志愿,2221,宁波大学,03,,(化学),605,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2221-04-1962,2025,江苏,physics,普通类本科批次平行志愿,2221,宁波大学,04,,(化学)(中外合作办学),590,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2222-01-1963,2025,江苏,physics,普通类本科批次平行志愿,2222,宁波工程学院,01,,(不限),538,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2222-02-1964,2025,江苏,physics,普通类本科批次平行志愿,2222,宁波工程学院,02,,(化学),529,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2222-03-1965,2025,江苏,physics,普通类本科批次平行志愿,2222,宁波工程学院,03,,(化学)(中外合作办学),523,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2222-04-1966,2025,江苏,physics,普通类本科批次平行志愿,2222,宁波工程学院,04,,(化学),527,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2223-02-1967,2025,江苏,physics,普通类本科批次平行志愿,2223,绍兴文理学院,02,,(化学),523,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2228-02-1968,2025,江苏,physics,普通类本科批次平行志愿,2228,温州大学,02,,(不限),565,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2228-03-1969,2025,江苏,physics,普通类本科批次平行志愿,2228,温州大学,03,,(化学),556,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2228-04-1970,2025,江苏,physics,普通类本科批次平行志愿,2228,温州大学,04,,(化学)(中外合作办学),555,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2231-01-1971,2025,江苏,physics,普通类本科批次平行志愿,2231,苏嘉兴大学,01,,(化学),533,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2231-02-1972,2025,江苏,physics,普通类本科批次平行志愿,2231,嘉兴大学,02,,(化学)(中外合作办学),543,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
