id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_type,source_name,source_url,source_updated_at,created_at,updated_at
js-2024-history-1109-01-21,2024,江苏,历史,普通类本科批次,1109,中国药科大学,01,,(不限),585,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1110-02-22,2024,江苏,历史,普通类本科批次,1110,南京工业大学,02,,(不限),562,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1111-02-23,2024,江苏,历史,普通类本科批次,1111,南京邮电大学,02,,(不限),572,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1112-01-24,2024,江苏,历史,普通类本科批次,1112,南京医科大学,01,,(不限),563,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1113-01-25,2024,江苏,历史,普通类本科批次,1113,南京中医药大学,01,,(不限)(南京校区),559,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1113-02-26,2024,江苏,历史,普通类本科批次,1113,南京中医药大学,02,,(不限)(中外合作办学)(泰州校区),525,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1114-01-27,2024,江苏,历史,普通类本科批次,1114,南京工程学院,01,,(不限),541,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1114-02-28,2024,江苏,历史,普通类本科批次,1114,南京工程学院,02,,(不限)(联合培养项目),523,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1115-01-29,2024,江苏,历史,普通类本科批次,1115,南京林业大学,01,,(不限)(南京校区),579,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
js-2024-history-1115-02-30,2024,江苏,历史,普通类本科批次,1115,南京林业大学,02,,(不限)(淮安校区),561,,,江苏省教育考试院,https://www.jseea.cn/webfile/index/index_zkxx/2024-07-18/7219509116052443136.html,2024-07-18,2026-07-01T13:21:35.886491+00:00,2026-07-01T13:21:35.886491+00:00
